,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
0,0,a,1,1,&,1,1,02186132
1,1,a,1,1,&,1,1,02186338
2,10,a,1,1,&,1,1,02187296
3,10-membered,a,1,1,&,1,0,01503760
4,100,a,1,1,&,1,1,02196107
5,1000,a,1,1,&,1,1,02198752
6,1000th,a,1,1,&,1,0,02212473
7,100th,a,1,1,&,1,0,02209423
8,101,a,1,1,&,1,0,02196211
9,101st,a,1,1,&,1,0,02209551
10,105,a,1,1,&,1,0,02196333
11,105th,a,1,1,&,1,0,02209678
12,10th,a,1,1,&,1,0,02203373
13,11,a,1,1,&,1,1,02187379
14,110,a,1,1,&,1,0,02196439
15,110th,a,1,1,&,1,0,02209806
16,115,a,1,1,&,1,0,02196543
17,115th,a,1,1,&,1,0,02209933
18,11th,a,1,1,&,1,1,02203500
19,12,a,1,1,&,1,1,02187465
20,120,a,1,1,&,1,0,02196657
21,120th,a,1,1,&,1,0,02210068
22,125,a,1,1,&,1,0,02196769
23,125th,a,1,1,&,1,0,02210202
24,12th,a,1,1,&,1,0,02203629
25,13,a,1,1,&,1,1,02187606
26,130,a,1,1,&,1,0,02196891
27,130th,a,1,1,&,1,0,02210344
28,135,a,1,1,&,1,0,02197007
29,135th,a,1,1,&,1,0,02210478
30,13th,a,1,1,&,1,1,02203763
31,14,a,1,1,&,1,1,02187699
32,140,a,1,1,&,1,0,02197130
33,140th,a,1,1,&,1,0,02210620
34,145,a,1,1,&,1,0,02197244
35,145th,a,1,1,&,1,0,02210752
36,14th,a,1,1,&,1,1,02203868
37,15,a,1,1,&,1,1,02187793
38,150,a,1,1,&,1,0,02197364
39,150th,a,1,1,&,1,0,02210892
40,155,a,1,1,&,1,0,02197476
41,155th,a,1,1,&,1,0,02211024
42,15th,a,1,1,&,1,1,02203976
43,16,a,1,1,&,1,1,02187903
44,160,a,1,1,&,1,0,02197595
45,160th,a,1,1,&,1,0,02211164
46,165,a,1,1,&,1,0,02197708
47,165th,a,1,1,&,1,0,02211296
48,16th,a,1,1,&,1,0,02204131
49,17,a,1,1,&,1,1,02187995
50,170,a,1,1,&,1,0,02197828
51,170th,a,1,1,&,1,0,02211436
52,175,a,1,1,&,1,0,02197944
53,175th,a,1,1,&,1,0,02211572
54,17th,a,1,1,&,1,1,02204237
55,18,a,1,1,&,1,1,02188108
56,180,a,1,1,&,1,0,02198069
57,180th,a,1,1,&,1,0,02211716
58,18th,a,1,1,&,1,1,02204363
59,19,a,1,1,&,1,1,02188205
60,190,a,1,1,&,1,0,02198187
61,190th,a,1,1,&,1,0,02211850
62,19th,a,1,1,&,1,1,02204472
63,1st,a,1,1,&,1,1,02202047
64,2,a,1,1,&,1,1,02186470
65,2-dimensional,a,1,1,&,1,0,00660551
66,20,a,1,1,&,1,1,02188317
67,200,a,1,1,&,1,0,02198302
68,200th,a,1,1,&,1,0,02211989
69,20th,a,1,1,&,1,1,02204716
70,21,a,1,1,&,1,1,02188431
71,21st,a,1,1,&,1,0,02204823
72,22,a,1,1,&,1,1,02188525
73,22nd,a,1,1,&,1,0,02204932
74,23,a,1,1,&,1,1,02188620
75,23rd,a,1,1,&,1,0,02205045
76,24,a,1,1,&,1,1,02188720
77,24th,a,1,1,&,1,1,02205158
78,25,a,1,1,&,1,1,02188817
79,25th,a,1,1,&,1,1,02205271
80,26,a,1,1,&,1,1,02188913
81,26th,a,1,1,&,1,0,02205384
82,27,a,1,1,&,1,1,02189008
83,27th,a,1,1,&,1,0,02205496
84,28,a,1,1,&,1,1,02189108
85,28th,a,1,1,&,1,0,02205610
86,29,a,1,1,&,1,1,02189209
87,29th,a,1,1,&,1,0,02205725
88,2d,a,1,1,&,1,1,02202146
89,2nd,a,1,1,&,1,0,02202146
90,3,a,1,1,&,1,1,02186580
91,3-dimensional,a,1,1,&,1,0,00660809
92,3-membered,a,1,1,&,1,0,01502796
93,30,a,1,1,&,1,1,02189306
94,300,a,1,1,&,1,0,02198409
95,300th,a,1,1,&,1,0,02212108
96,30th,a,1,1,&,1,1,02205838
97,31,a,1,1,&,1,0,02189396
98,31st,a,1,1,&,1,0,02205947
99,32,a,1,1,&,1,0,02189491
100,32nd,a,1,1,&,1,0,02206056
101,33,a,1,1,&,1,0,02189587
102,33rd,a,1,1,&,1,0,02206173
103,34,a,1,1,&,1,0,02189688
104,34th,a,1,1,&,1,0,02206291
105,35,a,1,1,&,1,0,02189786
106,35th,a,1,1,&,1,0,02206409
107,36,a,1,1,&,1,0,02189883
108,36th,a,1,1,&,1,0,02206526
109,37,a,1,1,&,1,0,02189979
110,37th,a,1,1,&,1,0,02206642
111,38,a,1,1,&,1,0,02190080
112,38th,a,1,1,&,1,0,02206762
113,39,a,1,1,&,1,0,02190182
114,39th,a,1,1,&,1,0,02206881
115,3rd,a,1,1,&,1,1,02202307
116,4,a,1,1,&,1,1,02186665
117,4-dimensional,a,1,1,&,1,0,00661146
118,4-membered,a,1,1,&,1,0,01502925
119,40,a,1,1,&,1,1,02190278
120,400,a,1,1,&,1,0,02198520
121,400th,a,1,1,&,1,0,02212231
122,40th,a,1,1,&,1,0,02206998
123,41,a,1,1,&,1,0,02190377
124,41st,a,1,1,&,1,0,02207105
125,42,a,1,1,&,1,0,02190469
