,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
0,aah,v,1,1,@,1,0,00865776
1,abacinate,v,1,1,@,1,0,02168378
2,abandon,v,5,4,"['@', '~', '$', '+']",5,5,"['02228031', '02227741', '02076676', '00613393', '00614057']"
3,abase,v,1,3,"['@', '~', '+']",1,0,['01799794']
4,abash,v,1,3,"['@', '~', '+']",1,0,['01792097']
5,abate,v,2,2,"['@', '+']",2,0,"['00245289', '00245059']"
6,abbreviate,v,2,4,"['@', '~', '$', '+']",2,0,"['00243900', '00243749']"
7,abdicate,v,1,2,"['@', '+']",1,0,['02379198']
8,abduce,v,1,1,@,1,0,01015866
9,abduct,v,2,5,"['!', '@', '~', '+', ';']",2,0,"['01471043', '01449427']"
10,aberrate,v,2,3,"['@', '+', ';']",2,0,"['02662076', '02661769']"
11,abet,v,1,2,"['@', '+']",1,1,['02549211']
12,abhor,v,1,2,"['@', '+']",1,1,['01774426']
13,abide,v,2,5,"['@', '~', '$', '+', ';']",2,2,"['02637202', '00668099']"
14,abide_by,v,2,3,"['@', '~', '$']",2,1,"['02542280', '02457233']"
15,abjure,v,1,2,"['@', '+']",1,0,['00798717']
16,ablactate,v,1,2,"['@', '*']",1,0,['01186958']
17,ablate,v,2,3,"['@', '+', ';']",2,0,"['00275466', '00177578']"
18,abnegate,v,3,3,"['@', '$', '+']",3,0,"['02213074', '01116275', '00758042']"
19,abolish,v,1,3,"['!', '~', '+']",1,1,['02427334']
20,abominate,v,1,2,"['@', '+']",1,0,['01774426']
21,abort,v,3,4,"['@', '~', '*', '+']",3,0,"['00353839', '00060063', '00059899']"
22,abound,v,2,3,"['@', '^', '+']",2,1,"['02715279', '02715595']"
23,abound_in,v,1,1,@,1,1,02715923
24,about-face,v,2,2,"['@', '+']",2,1,"['01909042', '00689068']"
25,abrade,v,2,3,"['@', '~', '+']",2,0,"['01254013', '01251651']"
26,abrase,v,1,2,"['@', '~']",1,0,['01254013']
27,abreact,v,1,3,"['@', '+', ';']",1,0,['01815471']
28,abridge,v,2,4,"['@', '~', '$', '+']",2,1,"['00243900', '00236843']"
29,abrogate,v,1,2,"['@', '+']",1,1,['02478584']
30,abscise,v,2,3,"['@', '$', '+']",2,0,"['01255355', '01255222']"
31,abscond,v,1,3,"['@', '~', '+']",1,0,['02073714']
32,abseil,v,1,3,"['@', '*', ';']",1,0,['01923058']
33,absent,v,1,2,"['@', '+']",1,1,['00421535']
34,absolve,v,2,4,"['!', '@', '~', '+']",2,0,"['00903711', '00902424']"
35,absorb,v,9,6,"['!', '@', '~', '$', '+', ';']",9,7,"['01539633', '00602255', '02216560', '01539063', '00395698', '02765464', '00601043', '01470524', '00600370']"
36,absquatulate,v,1,2,"['@', '~']",1,0,['02073714']
37,abstain,v,2,4,"['!', '@', '~', '+']",2,2,"['02463426', '01196037']"
38,abstract,v,4,2,"['@', '+']",4,3,"['00692329', '02276866', '00734587', '01008288']"
39,abuse,v,4,3,"['@', '~', '+']",4,2,"['02516594', '00203213', '00845299', '00203556']"
40,abut,v,1,3,"['@', '~', '+']",1,0,['01466978']
41,aby,v,1,1,@,1,0,02520509
42,abye,v,1,1,@,1,0,02520509
43,accede,v,3,3,"['@', '~', '+']",3,1,"['00878348', '02381397', '00804139']"
44,accelerate,v,2,4,"['!', '@', '~', '+']",2,2,"['00438178', '00439343']"
45,accent,v,2,3,"['@', '~', '+']",2,0,"['01013367', '00983333']"
46,accentuate,v,2,3,"['@', '~', '+']",2,1,"['01013367', '00983333']"
47,accept,v,11,5,"['!', '@', '~', '$', '+']",11,7,"['00686447', '02236124', '00797697', '00719231', '02236624', '02301825', '00668805', '02741546', '02210622', '02209936', '00718489']"
48,access,v,2,4,"['@', '~', '+', ';']",2,0,"['02248808', '02007417']"
49,accession,v,1,2,"['@', ';']",1,0,['00999568']
50,acclaim,v,2,4,"['@', '~', '*', '+']",2,1,"['00861725', '00861929']"
51,acclimate,v,1,2,"['@', '+']",1,0,['00393677']
52,acclimatise,v,1,2,"['@', '+']",1,0,['00393677']
53,acclimatize,v,1,2,"['@', '+']",1,1,['00393677']
54,accommodate,v,7,4,"['@', '~', '$', '+']",7,4,"['02702830', '00299580', '01184453', '02732798', '02651424', '00885925', '00482893']"
55,accompany,v,4,4,"['@', '~', '+', ';']",4,4,"['02716165', '02025550', '01728355', '02716767']"
56,accomplish,v,2,4,"['@', '~', '$', '+']",2,2,"['01640855', '02526085']"
57,accord,v,2,4,"['@', '~', '$', '+']",2,2,"['02700104', '02255268']"
58,accost,v,2,3,"['@', '~', '$']",2,1,"['00990655', '00781652']"
59,account,v,4,3,"['@', '~', '+']",4,0,"['02607432', '02265231', '00965035', '00867644']"
60,account_for,v,2,1,['@'],2,2,"['02635033', '00939621']"
61,accouter,v,1,1,@,1,0,02342016
62,accoutre,v,1,1,@,1,0,02342016
63,accredit,v,3,3,"['@', '+', ';']",3,1,"['02475535', '02475772', '00727791']"
64,accrete,v,2,3,"['@', '+', ';']",2,0,"['00396325', '00159368']"
65,accrue,v,2,4,"['@', '~', '$', '+']",2,1,"['00155869', '02230056']"
66,acculturate,v,1,3,"['@', '~', '+']",1,1,['00159880']
67,accumulate,v,2,3,"['@', '~', '+']",2,2,"['02304982', '00158804']"
68,accurse,v,1,1,@,1,0,00864910
69,accuse,v,2,3,"['@', '~', '+']",2,1,"['00842989', '00843468']"
70,accustom,v,1,2,"['@', '~']",1,1,['00273445']
71,ace,v,4,3,"['@', '+', ';']",4,0,"['02522581', '01113367', '01085130', '01077759']"
72,acerbate,v,2,3,"['@', '>', '+']",2,0,"['01773535', '00270440']"
73,acetify,v,2,3,"['@', '+', ';']",2,0,"['02196690', '00264875']"
74,acetylate,v,2,3,"['@', '+', ';']",2,0,"['00524299', '00524083']"
75,acetylise,v,2,2,"['@', ';']",2,0,"['00524299', '00524083']"
76,acetylize,v,2,3,"['@', '+', ';']",2,0,"['00524299', '00524083']"
77,ache,v,3,3,"['@', '~', '+']",3,3,"['02121511', '01805684', '02122164']"
78,achieve,v,1,3,"['@', '~', '+']",1,1,['02526085']
79,achromatise,v,1,1,@,1,0,00524530
80,achromatize,v,1,2,"['@', '+']",1,0,['00524530']
81,acid-wash,v,1,1,@,1,0,01537271
82,acidify,v,2,4,"['!', '@', '+', ';']",2,0,"['02196690', '00264875']"
83,acidulate,v,1,2,"['@', '+']",1,0,['02196690']
84,acknowledge,v,6,3,"['@', '~', '+']",6,4,"['00817311', '00892698', '01059123', '00892467', '00740449', '00592883']"
85,acquaint,v,3,4,"['@', '~', '$', '+']",3,2,"['00901103', '00874175', '00832778']"
86,acquiesce,v,1,3,"['@', '~', '+']",1,1,['00804139']
87,acquire,v,7,4,"['@', '~', '$', '+']",7,3,"['02210855', '00524682', '00094460', '02695378', '02288295', '00597915', '00545557']"
88,acquit,v,2,5,"['!', '@', '~', '*', '+']",2,1,"['00904046', '02518161']"
89,act,v,10,7,"['!', '@', '~', '^', '$', '+', ';']",10,5,"['02367363', '00010435', '01719302', '01095899', '00013615', '02744977', '02525447', '02419073', '01721556', '01719921']"
90,act_as,v,2,2,"['@', '$']",2,1,"['02671613', '00013615']"
91,act_involuntarily,v,1,2,"['@', '~']",1,0,['00010241']
92,act_on,v,2,2,"['@', '~']",2,2,"['02376429', '02376631']"
93,act_out,v,2,1,['@'],2,2,"['01722645', '01722447']"
94,act_reflexively,v,1,2,"['@', '~']",1,0,['00010241']
95,act_superior,v,1,1,@,1,0,02593551
96,act_up,v,2,1,['@'],2,0,"['02517655', '02122522']"
